feature,mainunit,unit,linksto,itemid,label,dtype
temperature,C,C,chartevents,223762,"Temperature Celsius",numeric
temperature,C,C,labevents,50825,"Temperature",numeric
temperature,C,F,chartevents,223761,"Temperature Fahrenheit",numeric
oxygen saturation (SaO2 / SpO2),%,%,chartevents,220227,"Arterial O2 Saturation",numeric
oxygen saturation (SaO2 / SpO2),%,%,chartevents,220277,"O2 saturation pulseoxymetry",numeric
oxygen saturation (SaO2 / SpO2),%,%,labevents,50817,"Oxygen Saturation",numeric
heart rate,bpm,bpm,chartevents,220045,"Heart Rate",numeric
respiratory rate,bpm,bpm,chartevents,220210,"Respiratory Rate",numeric
respiratory rate,bpm,bpm,chartevents,224689,"Respiratory Rate (spontaneous)",numeric
respiratory rate,bpm,bpm,chartevents,224690,"Respiratory Rate (Total)",numeric
central venous pressure (CVP),mmHg,mmHg,chartevents,220074,"Central Venous Pressure",numeric
end-tidal carbon dioxide (EtCO2),mmHg,mmHg,chartevents,228640,"EtCO2",numeric
systemic systolic arterial blood pressure,mmHg,mmHg,chartevents,225309,"ART BP Systolic",numeric
systemic systolic arterial blood pressure,mmHg,mmHg,chartevents,220050,"Arterial Blood Pressure systolic",numeric
systemic systolic arterial blood pressure,mmHg,mmHg,chartevents,220179,"Non Invasive Blood Pressure systolic",numeric
systemic diastolic arterial blood pressure,mmHg,mmHg,chartevents,225310,"ART BP Diastolic",numeric
systemic diastolic arterial blood pressure,mmHg,mmHg,chartevents,220051,"Arterial Blood Pressure diastolic",numeric
systemic diastolic arterial blood pressure,mmHg,mmHg,chartevents,220180,"Non Invasive Blood Pressure diastolic",numeric
systemic mean arterial blood pressure,mmHg,mmHg,chartevents,225312,"ART BP Mean",numeric
systemic mean arterial blood pressure,mmHg,mmHg,chartevents,220052,"Arterial Blood Pressure mean",numeric
systemic mean arterial blood pressure,mmHg,mmHg,chartevents,220181,"Non Invasive Blood Pressure mean",numeric
pulmonary systolic arterial blood pressure,mmHg,mmHg,chartevents,220059,"Pulmonary Artery Pressure systolic",numeric
pulmonary diastolic arterial blood pressure,mmHg,mmHg,chartevents,220060,"Pulmonary Artery Pressure diastolic",numeric
pulmonary mean arterial blood pressure,mmHg,mmHg,chartevents,220061,"Pulmonary Artery Pressure mean",numeric
apnea interval (set),sec,sec,chartevents,223876,"Apnea Interval",numeric
lung compliance,cmH2O/L/seconds,cmH2O/L/seconds,chartevents,229661,"Compliance",numeric
minute volume,L/min,L/min,chartevents,224687,"Minute Volume",numeric
tidal volume (set),mL,mL,chartevents,224684,"Tidal Volume (set)",numeric
tidal volume (observed),mL,mL,chartevents,224685,"Tidal Volume (observed)",numeric
tidal volume (spontaneous),mL,mL,chartevents,224686,"Tidal Volume (spontaneous)",numeric
fraction of inspired oxygen (FiO2),fraction between 0 and 1,fraction between 0 and 1,chartevents,223835,"Inspired O2 Fraction",numeric
fraction of inspired oxygen (FiO2),fraction between 0 and 1,fraction between 0 and 1,labevents,50816,"Oxygen",numeric
oxygen flow rate,L/min,L/min,chartevents,223834,"O2 Flow",numeric
oxygen flow rate,L/min,L/min,chartevents,224691,"Flow Rate (L/min)",numeric
oxygen flow rate,L/min,L/min,chartevents,227287,"O2 Flow (additional cannula)",numeric
oxygen flow rate,L/min,L/min,labevents,50815,"O2 Flow",numeric
mean airway pressure,cmH2O,cmH2O,chartevents,224697,"Mean Airway Pressure",numeric
peak inspired pressure,cmH2O,cmH2O,chartevents,224695,"Peak Insp. Pressure",numeric
positive end-expiratory pressure (PEEP),cmH2O,cmH2O,labevents,50819,"PEEP",numeric
positive end-expiratory pressure (PEEP),cmH2O,cmH2O,chartevents,224700,"Total PEEP Level",numeric
plateau pressure,cmH2O,cmH2O,chartevents,224696,"Plateau Pressure",numeric
albumin,g/dL,g/dL,chartevents,227456,"Albumin",numeric
albumin,g/dL,g/dL,labevents,50862,"Albumin",numeric
alkaline phosphatase,IU/L,IU/L,chartevents,225612,"Alkaline Phosphate",numeric
alkaline phosphatase,IU/L,IU/L,labevents,50863,"Alkaline Phosphatase",numeric
alanine transaminase (ALT / SGPT),IU/L,IU/L,chartevents,220644,"ALT",numeric
alanine transaminase (ALT / SGPT),IU/L,IU/L,labevents,50861,"Alanine Aminotransferase (ALT)",numeric
amylase,IU/L,IU/L,chartevents,220581,"Amylase",numeric
amylase,IU/L,IU/L,labevents,50867,"Amylase",numeric
anion gap,mEq/L,IU/L,labevents,50868,"Anion Gap",numeric
anion gap,mEq/L,IU/L,chartevents,227073,"Anion gap",numeric
aspartate aminotransferase (AST / SGOT),IU/L,IU/L,chartevents,220587,"AST",numeric
aspartate aminotransferase (AST / SGOT),IU/L,IU/L,labevents,50878,"Asparate Aminotransferase (AST)",numeric
differential bands / immature band forms (-bands) (%),%,%,chartevents,225638,"Differential-Bands",numeric
differential bands / immature band forms (-bands) (%),%,%,labevents,51144,"Bands",numeric
base excess,mEq/L,mEq/L,labevents,50802,"Base Excess",numeric
base excess,mEq/L,mEq/L,chartevents,224828,"Arterial Base Excess",numeric
differential basophils (-basos) (%),%,%,chartevents,225639,"Differential-Basos",numeric
differential basophils (-basos) (%),%,%,labevents,51146,"Basophils",numeric
glucose,mg/dL,mg/dL,labevents,50931,"Glucose",numeric
glucose,mg/dL,mg/dL,labevents,50809,"Glucose",numeric
glucose,mg/dL,mg/dL,chartevents,220621,"Glucose (serum)",numeric
glucose,mg/dL,mg/dL,chartevents,226537,"Glucose (whole blood)",numeric
glucose,mg/dL,mg/dL,chartevents,225664,"Glucose finger stick (range 70-100)",numeric
bicarbonate,mEq/L,mEq/L,labevents,50882,"Bicarbonate",numeric
bicarbonate,mEq/L,mEq/L,chartevents,227443,"HCO3 (serum)",numeric
blood urea nitrogen (BUN),mg/dL,mg/dL,chartevents,225624,"BUN",numeric
blood urea nitrogen (BUN),mg/dL,mg/dL,labevents,51006,"Urea Nitrogen",numeric
calcium,mg/dL,mg/dL,chartevents,225625,"Calcium non-ionized",numeric
calcium,mg/dL,mg/dL,labevents,50893,"Calcium, Total",numeric
calcium (ionized),mmol/L,mmol/L,chartevents,225667,"Ionized Calcium",numeric
calcium (ionized),mmol/L,mmol/L,labevents,50808,"Free Calcium",numeric
chloride,mEq/L,mEq/L,chartevents,220602,"Chloride (serum)",numeric
chloride,mEq/L,mEq/L,chartevents,226536,"Chloride (whole blood)",numeric
chloride,mEq/L,mEq/L,labevents,50806,"Chloride, Whole Blood",numeric
chloride,mEq/L,mEq/L,labevents,50902,"Chloride",numeric
cortisol,ug/dL,ug/dL,chartevents,227463,"Cortisol",numeric
creatinine phosphokinase (CPK / CK),IU/L,IU/L,chartevents,225634,"CK (CPK)",numeric
creatinine phosphokinase (CPK / CK),IU/L,IU/L,labevents,50910,"Creatine Kinase (CK)",numeric
creatinine phosphokinase myocardial band (CK-MB),ng/mL,ng/mL,chartevents,227445,"CK-MB",numeric
creatinine phosphokinase myocardial band (CK-MB),ng/mL,ng/mL,labevents,50911,"Creatine Kinase, MB Isoenzyme",numeric
creatinine phosphokinase myocardial band index (CK-MB index),%,%,labevents,50908,"CK-MB Index",numeric
creatinine,mg/dL,mg/dL,labevents,50912,"Creatinine",numeric
creatinine,mg/dL,mg/dL,chartevents,220615,"Creatinine (serum)",numeric
direct bilirubin,mg/dL,mg/dL,labevents,50883,"Bilirubin, Direct",numeric
direct bilirubin,mg/dL,mg/dL,chartevents,225651,"Direct Bilirubin",numeric
differential eosinophils (-eos) (%),%,%,chartevents,225640,"Differential-Eos",numeric
differential eosinophils (-eos) (%),%,%,labevents,51200,"Eosinophils",numeric
iron (Fe),ug/dL,ug/dL,labevents,50952,"Iron",numeric
ferritin,ng/mL,ng/mL,labevents,50924,"Ferritin",numeric
fibrinogen,mg/dL,mg/dL,chartevents,227468,"Fibrinogen",numeric
fibrinogen,mg/dL,mg/dL,labevents,51214,"Fibrinogen, Functional",numeric
hematocrit (HCT),%,%,chartevents,220545,"Hematocrit (serum)",numeric
hematocrit (HCT),%,%,chartevents,226540,"Hematocrit (whole blood - calc)",numeric
hematocrit (HCT),%,%,labevents,50810,"Hematocrit, Calculated",numeric
hematocrit (HCT),%,%,labevents,51221,"Hematocrit",numeric
cholesterol (HDL),mg/dL,mg/dL,chartevents,220624,"HDL",numeric
cholesterol (HDL),mg/dL,mg/dL,labevents,50904,"Cholesterol, HDL",numeric
hemoglobin (HGB),g/dL,g/dL,labevents,50811,"Hemoglobin",numeric
hemoglobin (HGB),g/dL,g/dL,chartevents,220228,"Hemoglobin",numeric
hemoglobin (HGB),g/dL,g/dL,labevents,51222,"Hemoglobin",numeric
lactate,mmol/L,mmol/L,labevents,50813,"Lactate",numeric
lactate dehydrogenase (LDH),IU/L,IU/L,chartevents,220632,"LDH",numeric
lactate dehydrogenase (LDH),IU/L,IU/L,labevents,50954,"Lactate Dehydrogenase (LD)",numeric
cholesterol (LDL),mg/dL,mg/dL,chartevents,225671,"LDL calculated",numeric
cholesterol (LDL),mg/dL,mg/dL,labevents,50905,"Cholesterol, LDL, Calculated",numeric
lipase,IU/L,IU/L,labevents,50956,"Lipase",numeric
lipase,IU/L,IU/L,chartevents,225672,"Lipase",numeric
differential lymphocytes (-lymphs) (%),%,%,chartevents,225641,"Differential-Lymphs",numeric
differential lymphocytes (-lymphs) (%),%,%,labevents,51244,"Lymphocytes",numeric
magnesium,mg/dL,mg/dL,labevents,50960,"Magnesium",numeric
magnesium,mg/dL,mg/dL,chartevents,220635,"Magnesium",numeric
mean corpuscular hemoglobin (MCH),pg,pg,labevents,51248,"MCH",numeric
mean corpuscular hemoglobin concentration (MCHC),g/dL,g/dL,labevents,51249,"MCHC",numeric
mean corpuscular volume (MCV),fL,fL,labevents,51250,"MCV",numeric
differential monocytes (-monos) (%),%,%,chartevents,225642,"Differential-Monos",numeric
differential monocytes (-monos) (%),%,%,labevents,51254,"Monocytes",numeric
partial pressure of carbon dioxide (PaCO2),mmHg,mmHg,labevents,50818,"pCO2",numeric
partial pressure of carbon dioxide (PaCO2),mmHg,mmHg,chartevents,220235,"Arterial CO2 Pressure",numeric
partial pressure of carbon dioxide (PaCO2),mmHg,mmHg,chartevents,226062,"Venous CO2 Pressure",numeric
partial pressure of oxygen (PaO2),mmHg,mmHg,labevents,50821,"pO2",numeric
partial pressure of oxygen (PaO2),mmHg,mmHg,chartevents,220224,"Arterial O2 Pressure",numeric
